Int_no,Rue_1,Rue_2,Arrondissement,X,Y,long,lat
1462,Notre-Dame,Place d'Armes/Saint-Sulpice,Ville-Marie,300373.56,5040557.72,-73.5566450678954,45.5049266508718
1463,Assomption,Saules des,Rosemont - Petite-Patrie,300304.73,5048081.53,-73.5575949613317,45.5726282306477
1464,Lorimier,Port-Royal,Ahuntsic - Cartierville,293617.02,5047558.26,-73.643268065158,45.5678443578625
1465,16 e Avenue,Bellechasse,Rosemont - Petite-Patrie,298585.92,5046374.68,-73.579595241176,45.5572562164979
1466,Chabot,Jean-Talon,Villeray - Saint-Michel - Parc-Extension,296523.43,5045471.56,-73.6059980557524,45.5491081778454
1467,Lille,Sauvé,Ahuntsic - Cartierville,293660.12,5047997.69,-73.6427259159294,45.5717991705085
1468,André-Grasset,Émile-Journault,Ahuntsic - Cartierville,294223.73,5046420.08,-73.6354707511425,45.5576121442665
1469,Henri-Julien,Legendre,Ahuntsic - Cartierville,293371.54,5045159.02,-73.6463569070362,45.5462512522063
1470,Lorimier,Sauvé,Ahuntsic - Cartierville,293454.75,5047654.27,-73.6453491698046,45.5687056583499
1471,Charland,Lorimier,Villeray - Saint-Michel - Parc-Extension,293684.08,5047518.54,-73.6424080415936,45.5674880196025
1472,La Valinière,Maurice-Duplessis,Rivières-des-Prairies - Pointe-aux-Trembles,297528.21,5054304.83,-73.5932613916643,45.6286036527673
1473,6 e Avenue,Maurice-Duplessis,Rivières-des-Prairies - Pointe-aux-Trembles,296883.09,5053799.7,-73.6015268984014,45.6240513275527
1474,Normanville,Rosemont,Rosemont - Petite-Patrie,297476.83,5044041.69,-73.593766485885,45.5362523765351
1475,Crémazie,Henri-Julien inter. Sud,Ahuntsic - Cartierville,293899.66,5044918,-73.6395882683209,45.5440909379283
1476,Crémazie,Henri-Julien inter. Nord,Ahuntsic - Cartierville,293871.56,5044954,-73.6399489157762,45.544414437826
1477,Crémazie,De Lorimier inter. Sud,Villeray - Saint-Michel - Parc-Extension,295602.06,5046227.5,-73.6178122314571,45.5558988190865
1478,Square Victoria Est,Viger,Ville-Marie,299882.3,5040259.5,-73.5629287192985,45.5022398504594
1479,Crémazie,Jarry inter. Nord,Villeray - Saint-Michel - Parc-Extension,295858.12,5046480,-73.6145370978782,45.5581742319657
1480,Crémazie,Jarry inter. Sud,Villeray - Saint-Michel - Parc-Extension,295727.8,5046298,-73.6162029958334,45.556534850798
1481,24 e Avenue,Crémazie,Villeray - Saint-Michel - Parc-Extension,297063.6,5047946,-73.5991192504246,45.571380205958
1482,Crémazie,Pie-IX inter. Nord,Villeray - Saint-Michel - Parc-Extension,296957.5,5047781.5,-73.600475968983,45.5698987965003
1483,Crémazie,Pie-IX inter. Sud,Villeray - Saint-Michel - Parc-Extension,297059.5,5047866.5,-73.599170520834,45.5706647947866
1484,19 e Avenue,Crémazie inter. Sud,Villeray - Saint-Michel - Parc-Extension,296882.38,5047574.5,-73.6014350316748,45.5680352954136
1485,19 e Avenue,Crémazie inter. Nord,Villeray - Saint-Michel - Parc-Extension,296837.4,5047604.5,-73.6020117718244,45.5683047316726
1486,Dickson,1100,Mercier - Hochelaga - Maisonneuve,302692.7,5047352.5,-73.526996322461,45.5660795104826
1487,Nazareth,William,Sud-Ouest,300176.54,5039666.35,-73.5591579272467,45.4969044433065
1488,17 e Avenue,Jean-Talon,Villeray - Saint-Michel - Parc-Extension,297407.07,5047004.07,-73.5947044532346,45.5629081551189
1489,Alexis-Carrel,Maurice-Duplessis,Rivières-des-Prairies - Pointe-aux-Trembles,298549.03,5055409.21,-73.5801834631934,45.6385510388476
1490,Crémazie,Iberville inter. Nord,Villeray - Saint-Michel - Parc-Extension,296003.44,5046518.5,-73.6126763810149,45.5585225186455
1491,Fernand-Gauthier,Maurice-Duplessis,Rivières-des-Prairies - Pointe-aux-Trembles,297346.81,5054142.63,-73.5955853798352,45.6271422185565
1492,Henri-Bourassa Est,L.-J.-Forget,Rivières-des-Prairies - Pointe-aux-Trembles,297915.8,5053426.63,-73.5882781157815,45.620705359489
1493,Davidson,Rachel/Saint-Michel,Rosemont - Petite-Patrie,300142.99,5045235.61,-73.5596401302292,45.5470186240061
